sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency
1	1	expected	David abandoned John because he	4	abandoned	low	2
2	1	unexpected	Elizabeth abandoned John because he	4	abandoned	low	2
3	2	expected	James abashed Daniel because he	4	abashed	low	0
4	2	unexpected	Jennifer abashed Daniel because he	4	abashed	low	0
5	3	expected	David abhorred Mark because he	4	abhorred	low	3
6	3	unexpected	Lily abhorred Mark because he	4	abhorred	low	3
7	4	expected	Daniel acclaimed Richard because he	4	acclaimed	high	35
8	4	unexpected	Mary acclaimed Richard because he	4	acclaimed	high	35
9	5	expected	John accompanied David because he	4	accompanied	high	36
10	5	unexpected	Linda accompanied David because he	4	accompanied	high	36
11	6	expected	James accused Mark because he	4	accused	high	90
12	6	unexpected	Grace accused Mark because he	4	accused	high	90
13	7	expected	John admired Mark because he	4	admired	high	74
14	7	unexpected	Linda admired Mark because he	4	admired	high	74
15	8	expected	Mark admonished Richard because he	4	admonished	low	1
16	8	unexpected	Linda admonished Richard because he	4	admonished	low	1
17	9	expected	Thomas adored Robert because he	4	adored	low	18
18	9	unexpected	Mary adored Robert because he	4	adored	low	18
19	10	expected	Michael advised Richard because he	4	advised	high	73
20	10	unexpected	Emily advised Richard because he	4	advised	high	73
21	11	expected	Robert affected Michael because he	4	affected	high	95
22	11	unexpected	Linda affected Michael because he	4	affected	high	95
23	12	expected	William affronted David because he	4	affronted	high	30
24	12	unexpected	Lily affronted David because he	4	affronted	high	30
25	13	expected	Richard aggravated David because he	4	aggravated	low	7
26	13	unexpected	Emily aggravated David because he	4	aggravated	low	7
27	14	expected	William agitated Robert because he	4	agitated	high	25
28	14	unexpected	Mary agitated Robert because he	4	agitated	high	25
29	15	expected	Thomas alarmed Mark because he	4	alarmed	low	0
30	15	unexpected	Lily alarmed Mark because he	4	alarmed	low	0
31	16	expected	Richard alienated David because he	4	alienated	low	21
32	16	unexpected	Sarah alienated David because he	4	alienated	low	21
33	17	expected	Robert amazed William because he	4	amazed	low	4
34	17	unexpected	Grace amazed William because he	4	amazed	low	4
35	18	expected	James amused David because he	4	amused	low	7
36	18	unexpected	Mary amused David because he	4	amused	low	7
37	19	expected	James angered Robert because he	4	angered	low	11
38	19	unexpected	Lily angered Robert because he	4	angered	low	11
39	20	expected	James annoyed David because he	4	annoyed	high	268
40	20	unexpected	Susan annoyed David because he	4	annoyed	high	268
41	21	expected	Robert answered Thomas because he	4	answered	high	280
42	21	unexpected	Emily answered Thomas because he	4	answered	high	280
43	22	expected	Michael antagonized William because he	4	antagonized	low	1
44	22	unexpected	Emily antagonized William because he	4	antagonized	low	1
45	23	expected	James apologized to Robert because he	5	apologized to	high	57
46	23	unexpected	Lily apologized to Robert because he	5	apologized to	high	57
47	24	expected	Daniel appalled Michael because he	4	appalled	high	32
48	24	unexpected	Sarah appalled Michael because he	4	appalled	high	32
49	25	expected	James appeased Michael because he	4	appeased	low	5
50	25	unexpected	Jessica appeased Michael because he	4	appeased	low	5
51	26	expected	Richard applauded Robert because he	4	applauded	low	12
52	26	unexpected	Sarah applauded Robert because he	4	applauded	low	12
53	27	expected	James appreciated William because he	4	appreciated	high	94
54	27	unexpected	Mary appreciated William because he	4	appreciated	high	94
55	28	expected	James approached John because he	4	approached	high	75
56	28	unexpected	Emily approached John because he	4	approached	high	75
57	29	expected	Richard astonished Robert because he	4	astonished	low	13
58	29	unexpected	Lily astonished Robert because he	4	astonished	low	13
59	30	expected	James astounded William because he	4	astounded	low	0
60	30	unexpected	Linda astounded William because he	4	astounded	low	0
61	31	expected	Thomas attracted Richard because he	4	attracted	low	1
62	31	unexpected	Jessica attracted Richard because he	4	attracted	low	1
63	32	expected	Michael avoided Robert because he	4	avoided	high	68
64	32	unexpected	Jennifer avoided Robert because he	4	avoided	high	68
65	33	expected	James baffled Mark because he	4	baffled	low	1
66	33	unexpected	Sarah baffled Mark because he	4	baffled	low	1
67	34	expected	Robert banished Richard because he	4	banished	low	9
68	34	unexpected	Grace banished Richard because he	4	banished	low	9
69	35	expected	Richard battled William because he	4	battled	low	6
70	35	unexpected	Linda battled William because he	4	battled	low	6
71	36	expected	Michael beguiled Mark because he	4	beguiled	high	108
72	36	unexpected	Jessica beguiled Mark because he	4	beguiled	high	108
73	37	expected	David believed John because he	4	believed	high	337
74	37	unexpected	Lily believed John because he	4	believed	high	337
75	38	expected	Michael betrayed Daniel because he	4	betrayed	low	7
76	38	unexpected	Susan betrayed Daniel because he	4	betrayed	low	7
77	39	expected	Daniel bewildered David because he	4	bewildered	high	107
78	39	unexpected	Susan bewildered David because he	4	bewildered	high	107
79	40	expected	Richard blamed Thomas because he	4	blamed	high	41
80	40	unexpected	Sarah blamed Thomas because he	4	blamed	high	41
81	41	expected	Robert blessed Mark because he	4	blessed	high	47
82	41	unexpected	Mary blessed Mark because he	4	blessed	high	47
83	42	expected	David bored Mark because he	4	bored	low	19
84	42	unexpected	Elizabeth bored Mark because he	4	bored	low	19
85	43	expected	William bothered David because he	4	bothered	high	71
86	43	unexpected	Elizabeth bothered David because he	4	bothered	high	71
87	44	expected	Richard bugged Michael because he	4	bugged	low	4
88	44	unexpected	Jessica bugged Michael because he	4	bugged	low	4
89	45	expected	John called Robert because he	4	called	low	15
90	45	unexpected	Sarah called Robert because he	4	called	low	15
91	46	expected	Michael calmed Mark because he	4	calmed	high	153
92	46	unexpected	Lily calmed Mark because he	4	calmed	high	153
93	47	expected	Robert calmed down Mark because he	5	calmed down	low	0
94	47	unexpected	Grace calmed down Mark because he	5	calmed down	low	0
95	48	expected	James captivated Michael because he	4	captivated	high	46
96	48	unexpected	Emily captivated Michael because he	4	captivated	high	46
97	49	expected	Michael caressed Mark because he	4	caressed	low	5
98	49	unexpected	Sarah caressed Mark because he	4	caressed	low	5
99	50	expected	John carried William because he	4	carried	low	0
100	50	unexpected	Jessica carried William because he	4	carried	low	0
101	51	expected	John castigated David because he	4	castigated	low	1
102	51	unexpected	Emily castigated David because he	4	castigated	low	1
103	52	expected	Robert caught James because he	4	caught	high	124
104	52	unexpected	Mary caught James because he	4	caught	high	124
105	53	expected	James cautioned David because he	4	cautioned	high	191
106	53	unexpected	Lily cautioned David because he	4	cautioned	high	191
107	54	expected	Thomas celebrated David because he	4	celebrated	high	48
108	54	unexpected	Sarah celebrated David because he	4	celebrated	high	48
109	55	expected	Michael censured Daniel because he	4	censured	high	39
110	55	unexpected	Jessica censured Daniel because he	4	censured	high	39
111	56	expected	Mark charmed Michael because he	4	charmed	high	418
112	56	unexpected	Elizabeth charmed Michael because he	4	charmed	high	418
113	57	expected	Mark chased Richard because he	4	chased	high	28
114	57	unexpected	Linda chased Richard because he	4	chased	high	28
115	58	expected	Mark chastened James because he	4	chastened	low	0
116	58	unexpected	Elizabeth chastened James because he	4	chastened	low	0
117	59	expected	Richard chastized William because he	4	chastized	low	0
118	59	unexpected	Jessica chastized William because he	4	chastized	low	0
119	60	expected	Mark cheated Thomas because he	4	cheated	low	17
120	60	unexpected	Lily cheated Thomas because he	4	cheated	low	17
121	61	expected	James cheered Daniel because he	4	cheered	high	48
122	61	unexpected	Lily cheered Daniel because he	4	cheered	high	48
123	62	expected	William cherished John because he	4	cherished	low	13
124	62	unexpected	Grace cherished John because he	4	cherished	low	13
125	63	expected	Mark chided James because he	4	chided	low	1
126	63	unexpected	Grace chided James because he	4	chided	low	1
127	64	expected	James chilled John because he	4	chilled	low	7
128	64	unexpected	Lily chilled John because he	4	chilled	low	7
129	65	expected	John comforted James because he	4	comforted	high	612
130	65	unexpected	Lily comforted James because he	4	comforted	high	612
131	66	expected	John commended William because he	4	commended	low	10
132	66	unexpected	Lily commended William because he	4	commended	low	10
133	67	expected	Mark compensated James because he	4	compensated	high	44
134	67	unexpected	Elizabeth compensated James because he	4	compensated	high	44
135	68	expected	Thomas complemented James because he	4	complemented	low	4
136	68	unexpected	Sarah complemented James because he	4	complemented	low	4
137	69	expected	Michael complimented Thomas because he	4	complimented	high	113
138	69	unexpected	Linda complimented Thomas because he	4	complimented	high	113
139	70	expected	Thomas concerned Richard because he	4	concerned	high	36
140	70	unexpected	Linda concerned Richard because he	4	concerned	high	36
141	71	expected	David condemned Daniel because he	4	condemned	high	34
142	71	unexpected	Susan condemned Daniel because he	4	condemned	high	34
143	72	expected	William confessed to Richard because he	5	confessed to	high	92
144	72	unexpected	Susan confessed to Richard because he	5	confessed to	high	92
145	73	expected	Thomas confided in John because he	5	confided in	low	0
146	73	unexpected	Lily confided in John because he	5	confided in	low	0
147	74	expected	John confounded Richard because he	4	confounded	low	20
148	74	unexpected	Emily confounded Richard because he	4	confounded	low	20
149	75	expected	David confused James because he	4	confused	low	16
150	75	unexpected	Linda confused James because he	4	confused	low	16
151	76	expected	James congratulated Mark because he	4	congratulated	low	17
152	76	unexpected	Jessica congratulated Mark because he	4	congratulated	low	17
153	77	expected	Michael consoled Richard because he	4	consoled	high	34
154	77	unexpected	Jennifer consoled Richard because he	4	consoled	high	34
155	78	expected	Robert consulted Thomas because he	4	consulted	high	68
156	78	unexpected	Linda consulted Thomas because he	4	consulted	high	68
157	79	expected	David corrected Thomas because he	4	corrected	high	37
158	79	unexpected	Sarah corrected Thomas because he	4	corrected	high	37
159	80	expected	David corrupted John because he	4	corrupted	low	21
160	80	unexpected	Sarah corrupted John because he	4	corrupted	low	21
161	81	expected	John counseled David because he	4	counseled	high	184
162	81	unexpected	Linda counseled David because he	4	counseled	high	184
163	82	expected	Michael courted Richard because he	4	courted	low	5
164	82	unexpected	Jessica courted Richard because he	4	courted	low	5
165	83	expected	Thomas criticized James because he	4	criticized	high	36
166	83	unexpected	Susan criticized James because he	4	criticized	high	36
167	84	expected	John cuddled Michael because he	4	cuddled	low	5
168	84	unexpected	Susan cuddled Michael because he	4	cuddled	low	5
169	85	expected	John dated Richard because he	4	dated	low	0
170	85	unexpected	Elizabeth dated Richard because he	4	dated	low	0
171	86	expected	Thomas daunted Robert because he	4	daunted	low	14
172	86	unexpected	Susan daunted Robert because he	4	daunted	low	14
173	87	expected	Mark debated with Thomas because he	5	debated with	low	18
174	87	unexpected	Jennifer debated with Thomas because he	5	debated with	low	18
175	88	expected	James deceived Robert because he	4	deceived	low	0
176	88	unexpected	Linda deceived Robert because he	4	deceived	low	0
177	89	expected	John decried Mark because he	4	decried	low	0
178	89	unexpected	Mary decried Mark because he	4	decried	low	0
179	90	expected	William defamed John because he	4	defamed	low	1
180	90	unexpected	Mary defamed John because he	4	defamed	low	1
181	91	expected	Daniel defied Thomas because he	4	defied	low	8
182	91	unexpected	Sarah defied Thomas because he	4	defied	low	8
183	92	expected	Mark delighted Michael because he	4	delighted	high	57
184	92	unexpected	Mary delighted Michael because he	4	delighted	high	57
185	93	expected	Mark denigrated David because he	4	denigrated	low	0
186	93	unexpected	Jennifer denigrated David because he	4	denigrated	low	0
187	94	expected	David denounced Daniel because he	4	denounced	low	10
188	94	unexpected	Linda denounced Daniel because he	4	denounced	low	10
189	95	expected	Richard deplored David because he	4	deplored	low	10
190	95	unexpected	Grace deplored David because he	4	deplored	low	10
191	96	expected	James deprecated John because he	4	deprecated	low	0
192	96	unexpected	Grace deprecated John because he	4	deprecated	low	0
193	97	expected	David derided Richard because he	4	derided	low	3
194	97	unexpected	Grace derided Richard because he	4	derided	low	3
195	98	expected	Daniel deserted Mark because he	4	deserted	low	13
196	98	unexpected	Emily deserted Mark because he	4	deserted	low	13
197	99	expected	Robert despised James because he	4	despised	low	23
198	99	unexpected	Emily despised James because he	4	despised	low	23
199	100	expected	James detested Robert because he	4	detested	low	10
200	100	unexpected	Susan detested Robert because he	4	detested	low	10
201	101	expected	Michael disappointed Robert because he	4	disappointed	low	3
202	101	unexpected	Jessica disappointed Robert because he	4	disappointed	low	3
203	102	expected	William discouraged David because he	4	discouraged	high	666
204	102	unexpected	Mary discouraged David because he	4	discouraged	high	666
205	103	expected	Thomas disdained David because he	4	disdained	high	55
206	103	unexpected	Lily disdained David because he	4	disdained	high	55
207	104	expected	Mark disgruntled James because he	4	disgruntled	high	58
208	104	unexpected	Sarah disgruntled James because he	4	disgruntled	high	58
209	105	expected	Robert disliked Michael because he	4	disliked	high	166
210	105	unexpected	Emily disliked Michael because he	4	disliked	high	166
211	106	expected	David disobeyed James because he	4	disobeyed	low	10
212	106	unexpected	Emily disobeyed James because he	4	disobeyed	low	10
213	107	expected	Robert disparaged Michael because he	4	disparaged	low	0
214	107	unexpected	Jessica disparaged Michael because he	4	disparaged	low	0
215	108	expected	Mark distracted Robert because he	4	distracted	low	1
216	108	unexpected	Grace distracted Robert because he	4	distracted	low	1
217	109	expected	Mark distressed John because he	4	distressed	low	1
218	109	unexpected	Sarah distressed John because he	4	distressed	low	1
219	110	expected	Robert distrusted David because he	4	distrusted	high	63
220	110	unexpected	Jennifer distrusted David because he	4	distrusted	high	63
221	111	expected	Robert divorced David because he	4	divorced	high	42
222	111	unexpected	Lily divorced David because he	4	divorced	high	42
223	112	expected	Mark dominated Michael because he	4	dominated	high	337
224	112	unexpected	Elizabeth dominated Michael because he	4	dominated	high	337
225	113	expected	Robert dreaded James because he	4	dreaded	high	99
226	113	unexpected	Emily dreaded James because he	4	dreaded	high	99
227	114	expected	James dreamed about Robert because he	5	dreamed about	high	24
228	114	unexpected	Sarah dreamed about Robert because he	5	dreamed about	high	24
229	115	expected	Thomas dumbfounded Robert because he	4	dumbfounded	low	0
230	115	unexpected	Mary dumbfounded Robert because he	4	dumbfounded	low	0
231	116	expected	David echoed Richard because he	4	echoed	high	33
232	116	unexpected	Elizabeth echoed Richard because he	4	echoed	high	33
233	117	expected	John embraced Daniel because he	4	embraced	low	0
234	117	unexpected	Emily embraced Daniel because he	4	embraced	low	0
235	118	expected	Michael employed Robert because he	4	employed	high	27
236	118	unexpected	Jennifer employed Robert because he	4	employed	high	27
237	119	expected	Thomas encouraged Mark because he	4	encouraged	low	2
238	119	unexpected	Susan encouraged Mark because he	4	encouraged	low	2
239	120	expected	Mark enlightened John because he	4	enlightened	low	2
240	120	unexpected	Lily enlightened John because he	4	enlightened	low	2
241	121	expected	David enlivened Michael because he	4	enlivened	high	79
242	121	unexpected	Sarah enlivened Michael because he	4	enlivened	high	79
243	122	expected	John enraged William because he	4	enraged	high	25
244	122	unexpected	Grace enraged William because he	4	enraged	high	25
245	123	expected	Mark enthralled Michael because he	4	enthralled	low	6
246	123	unexpected	Susan enthralled Michael because he	4	enthralled	low	6
247	124	expected	Michael enticed John because he	4	enticed	low	3
248	124	unexpected	Elizabeth enticed John because he	4	enticed	low	3
249	125	expected	William entranced John because he	4	entranced	low	9
250	125	unexpected	Emily entranced John because he	4	entranced	low	9
251	126	expected	James envied Daniel because he	4	envied	high	245
252	126	unexpected	Lily envied Daniel because he	4	envied	high	245
253	127	expected	William escorted Mark because he	4	escorted	high	114
254	127	unexpected	Susan escorted Mark because he	4	escorted	high	114
255	128	expected	Daniel esteemed Michael because he	4	esteemed	high	66
256	128	unexpected	Linda esteemed Michael because he	4	esteemed	high	66
257	129	expected	Michael exalted Daniel because he	4	exalted	low	0
258	129	unexpected	Susan exalted Daniel because he	4	exalted	low	0
259	130	expected	John exasperated Michael because he	4	exasperated	low	3
260	130	unexpected	Emily exasperated Michael because he	4	exasperated	low	3
261	131	expected	Richard excited James because he	4	excited	low	1
262	131	unexpected	Elizabeth excited James because he	4	excited	low	1
263	132	expected	Michael excused David because he	4	excused	high	381
264	132	unexpected	Susan excused David because he	4	excused	high	381
265	133	expected	John exhausted Thomas because he	4	exhausted	high	96
266	133	unexpected	Linda exhausted Thomas because he	4	exhausted	high	96
267	134	expected	James exhilarated Thomas because he	4	exhilarated	high	230
268	134	unexpected	Emily exhilarated Thomas because he	4	exhilarated	high	230
269	135	expected	Robert fancied James because he	4	fancied	high	86
270	135	unexpected	Linda fancied James because he	4	fancied	high	86
271	136	expected	John fascinated James because he	4	fascinated	low	0
272	136	unexpected	Susan fascinated James because he	4	fascinated	low	0
273	137	expected	William favoured Robert because he	4	favoured	high	995
274	137	unexpected	Lily favoured Robert because he	4	favoured	high	995
275	138	expected	Robert fazed William because he	4	fazed	high	242
276	138	unexpected	Sarah fazed William because he	4	fazed	high	242
277	139	expected	Richard feared Mark because he	4	feared	high	106
278	139	unexpected	Emily feared Mark because he	4	feared	high	106
279	140	expected	John fed David because he	4	fed	high	283
280	140	unexpected	Elizabeth fed David because he	4	fed	high	283
281	141	expected	Michael filmed Robert because he	4	filmed	low	5
282	141	unexpected	Mary filmed Robert because he	4	filmed	low	5
283	142	expected	David flabbergasted Richard because he	4	flabbergasted	low	4
284	142	unexpected	Emily flabbergasted Richard because he	4	flabbergasted	low	4
285	143	expected	William flattered Richard because he	4	flattered	low	0
286	143	unexpected	Grace flattered Richard because he	4	flattered	low	0
287	144	expected	Mark floored David because he	4	floored	low	3
288	144	unexpected	Susan floored David because he	4	floored	low	3
289	145	expected	Daniel followed James because he	4	followed	high	129
290	145	unexpected	Elizabeth followed James because he	4	followed	high	129
291	146	expected	John fooled Richard because he	4	fooled	low	17
292	146	unexpected	Mary fooled Richard because he	4	fooled	low	17
293	147	expected	Mark forgave Daniel because he	4	forgave	high	43
294	147	unexpected	Linda forgave Daniel because he	4	forgave	high	43
295	148	expected	William forgot Richard because he	4	forgot	high	348
296	148	unexpected	Lily forgot Richard because he	4	forgot	high	348
297	149	expected	William fought Daniel because he	4	fought	high	554
298	149	unexpected	Lily fought Daniel because he	4	fought	high	554
299	150	expected	Robert freed Mark because he	4	freed	high	38
300	150	unexpected	Elizabeth freed Mark because he	4	freed	high	38
301	151	expected	Richard frightened William because he	4	frightened	high	547
302	151	unexpected	Susan frightened William because he	4	frightened	high	547
303	152	expected	Robert frustrated Mark because he	4	frustrated	low	0
304	152	unexpected	Jennifer frustrated Mark because he	4	frustrated	low	0
