sentid	pairid	comparison	sentence	ROI	verb	semantic	semantic_class_detailed
1	1	expected	David abandoned John because he	4	abandoned	Activity	AgP
2	1	unexpected	Elizabeth abandoned John because he	4	abandoned	Activity	AgP
3	2	expected	James abashed Daniel because he	4	abashed	Psychological	StimExp
4	2	unexpected	Jennifer abashed Daniel because he	4	abashed	Psychological	StimExp
5	3	expected	David abhorred Mark because he	4	abhorred	Psychological	ExpStim
6	3	unexpected	David abhorred Lily because he	4	abhorred	Psychological	ExpStim
7	4	expected	Daniel acclaimed Richard because he	4	acclaimed	Activity	AgEvo
8	4	unexpected	Daniel acclaimed Mary because he	4	acclaimed	Activity	AgEvo
9	5	expected	John accompanied David because he	4	accompanied	Activity	AgP
10	5	unexpected	Linda accompanied David because he	4	accompanied	Activity	AgP
11	6	expected	James accused Mark because he	4	accused	Activity	AgEvo
12	6	unexpected	James accused Grace because he	4	accused	Activity	AgEvo
13	7	expected	John admired Mark because he	4	admired	Psychological	ExpStim
14	7	unexpected	John admired Linda because he	4	admired	Psychological	ExpStim
15	8	expected	Mark admonished Richard because he	4	admonished	Activity	AgP
16	8	unexpected	Linda admonished Richard because he	4	admonished	Activity	AgP
17	9	expected	Thomas adored Robert because he	4	adored	Psychological	ExpStim
18	9	unexpected	Thomas adored Mary because he	4	adored	Psychological	ExpStim
19	10	expected	Michael advised Richard because he	4	advised	Activity	AgP
20	10	unexpected	Emily advised Richard because he	4	advised	Activity	AgP
21	11	expected	Robert affected Michael because he	4	affected	Psychological	StimExp
22	11	unexpected	Linda affected Michael because he	4	affected	Psychological	StimExp
23	12	expected	William affronted David because he	4	affronted	Psychological	StimExp
24	12	unexpected	Lily affronted David because he	4	affronted	Psychological	StimExp
25	13	expected	Richard aggravated David because he	4	aggravated	Psychological	StimExp
26	13	unexpected	Emily aggravated David because he	4	aggravated	Psychological	StimExp
27	14	expected	William agitated Robert because he	4	agitated	Psychological	StimExp
28	14	unexpected	Mary agitated Robert because he	4	agitated	Psychological	StimExp
29	15	expected	Thomas alarmed Mark because he	4	alarmed	Psychological	StimExp
30	15	unexpected	Lily alarmed Mark because he	4	alarmed	Psychological	StimExp
31	16	expected	Richard alienated David because he	4	alienated	Activity	AgP
32	16	unexpected	Sarah alienated David because he	4	alienated	Activity	AgP
33	17	expected	Robert amazed William because he	4	amazed	Psychological	StimExp
34	17	unexpected	Grace amazed William because he	4	amazed	Psychological	StimExp
35	18	expected	James amused David because he	4	amused	Psychological	StimExp
36	18	unexpected	Mary amused David because he	4	amused	Psychological	StimExp
37	19	expected	James angered Robert because he	4	angered	Psychological	StimExp
38	19	unexpected	Lily angered Robert because he	4	angered	Psychological	StimExp
39	20	expected	James annoyed David because he	4	annoyed	Psychological	StimExp
40	20	unexpected	Susan annoyed David because he	4	annoyed	Psychological	StimExp
41	21	expected	Robert answered Thomas because he	4	answered	Activity	AgP
42	21	unexpected	Emily answered Thomas because he	4	answered	Activity	AgP
43	22	expected	Michael antagonized William because he	4	antagonized	Psychological	StimExp
44	22	unexpected	Emily antagonized William because he	4	antagonized	Psychological	StimExp
45	23	expected	James apologized to Robert because he	5	apologized to	Activity	AgEvo
46	23	unexpected	James apologized to Lily because he	5	apologized to	Activity	AgEvo
47	24	expected	Daniel appalled Michael because he	4	appalled	Psychological	StimExp
48	24	unexpected	Sarah appalled Michael because he	4	appalled	Psychological	StimExp
49	25	expected	James appeased Michael because he	4	appeased	Psychological	StimExp
50	25	unexpected	Jessica appeased Michael because he	4	appeased	Psychological	StimExp
51	26	expected	Richard applauded Robert because he	4	applauded	Activity	AgEvo
52	26	unexpected	Richard applauded Sarah because he	4	applauded	Activity	AgEvo
53	27	expected	James appreciated William because he	4	appreciated	Psychological	ExpStim
54	27	unexpected	James appreciated Mary because he	4	appreciated	Psychological	ExpStim
55	28	expected	James approached John because he	4	approached	Activity	AgP
56	28	unexpected	Emily approached John because he	4	approached	Activity	AgP
57	29	expected	Richard astonished Robert because he	4	astonished	Psychological	StimExp
58	29	unexpected	Lily astonished Robert because he	4	astonished	Psychological	StimExp
59	30	expected	James astounded William because he	4	astounded	Psychological	StimExp
60	30	unexpected	Linda astounded William because he	4	astounded	Psychological	StimExp
61	31	expected	Thomas attracted Richard because he	4	attracted	Psychological	StimExp
62	31	unexpected	Jessica attracted Richard because he	4	attracted	Psychological	StimExp
63	32	expected	Michael avoided Robert because he	4	avoided	Activity	AgP
64	32	unexpected	Jennifer avoided Robert because he	4	avoided	Activity	AgP
65	33	expected	James baffled Mark because he	4	baffled	Psychological	StimExp
66	33	unexpected	Sarah baffled Mark because he	4	baffled	Psychological	StimExp
67	34	expected	Robert banished Richard because he	4	banished	Activity	AgP
68	34	unexpected	Grace banished Richard because he	4	banished	Activity	AgP
69	35	expected	Richard battled William because he	4	battled	Activity	AgP
70	35	unexpected	Linda battled William because he	4	battled	Activity	AgP
71	36	expected	Michael beguiled Mark because he	4	beguiled	Psychological	StimExp
72	36	unexpected	Jessica beguiled Mark because he	4	beguiled	Psychological	StimExp
73	37	expected	David believed John because he	4	believed	Psychological	ExpStim
74	37	unexpected	David believed Lily because he	4	believed	Psychological	ExpStim
75	38	expected	Michael betrayed Daniel because he	4	betrayed	Activity	AgP
76	38	unexpected	Susan betrayed Daniel because he	4	betrayed	Activity	AgP
77	39	expected	Daniel bewildered David because he	4	bewildered	Psychological	StimExp
78	39	unexpected	Susan bewildered David because he	4	bewildered	Psychological	StimExp
79	40	expected	Richard blamed Thomas because he	4	blamed	Activity	AgEvo
80	40	unexpected	Richard blamed Sarah because he	4	blamed	Activity	AgEvo
81	41	expected	Robert blessed Mark because he	4	blessed	Activity	AgEvo
82	41	unexpected	Robert blessed Mary because he	4	blessed	Activity	AgEvo
83	42	expected	David bored Mark because he	4	bored	Psychological	StimExp
84	42	unexpected	Elizabeth bored Mark because he	4	bored	Psychological	StimExp
85	43	expected	William bothered David because he	4	bothered	Psychological	StimExp
86	43	unexpected	Elizabeth bothered David because he	4	bothered	Psychological	StimExp
87	44	expected	Richard bugged Michael because he	4	bugged	Psychological	StimExp
88	44	unexpected	Jessica bugged Michael because he	4	bugged	Psychological	StimExp
89	45	expected	John called Robert because he	4	called	Activity	AgP
90	45	unexpected	Sarah called Robert because he	4	called	Activity	AgP
91	46	expected	Michael calmed Mark because he	4	calmed	Psychological	StimExp
92	46	unexpected	Lily calmed Mark because he	4	calmed	Psychological	StimExp
93	47	expected	Robert calmed down Mark because he	5	calmed down	Activity	AgP
94	47	unexpected	Grace calmed down Mark because he	5	calmed down	Activity	AgP
95	48	expected	James captivated Michael because he	4	captivated	Psychological	StimExp
96	48	unexpected	Emily captivated Michael because he	4	captivated	Psychological	StimExp
97	49	expected	Michael caressed Mark because he	4	caressed	Activity	AgP
98	49	unexpected	Sarah caressed Mark because he	4	caressed	Activity	AgP
99	50	expected	John carried William because he	4	carried	Activity	AgP
100	50	unexpected	Jessica carried William because he	4	carried	Activity	AgP
101	51	expected	John castigated David because he	4	castigated	Activity	AgEvo
102	51	unexpected	John castigated Emily because he	4	castigated	Activity	AgEvo
103	52	expected	Robert caught James because he	4	caught	Activity	AgP
104	52	unexpected	Mary caught James because he	4	caught	Activity	AgP
105	53	expected	James cautioned David because he	4	cautioned	Activity	AgP
106	53	unexpected	Lily cautioned David because he	4	cautioned	Activity	AgP
107	54	expected	Thomas celebrated David because he	4	celebrated	Activity	AgEvo
108	54	unexpected	Thomas celebrated Sarah because he	4	celebrated	Activity	AgEvo
109	55	expected	Michael censured Daniel because he	4	censured	Activity	AgEvo
110	55	unexpected	Michael censured Jessica because he	4	censured	Activity	AgEvo
111	56	expected	Mark charmed Michael because he	4	charmed	Psychological	StimExp
112	56	unexpected	Elizabeth charmed Michael because he	4	charmed	Psychological	StimExp
113	57	expected	Mark chased Richard because he	4	chased	Activity	AgP
114	57	unexpected	Linda chased Richard because he	4	chased	Activity	AgP
115	58	expected	Mark chastened James because he	4	chastened	Activity	AgEvo
116	58	unexpected	Mark chastened Elizabeth because he	4	chastened	Activity	AgEvo
117	59	expected	Richard chastized William because he	4	chastized	Activity	AgEvo
118	59	unexpected	Richard chastized Jessica because he	4	chastized	Activity	AgEvo
119	60	expected	Mark cheated Thomas because he	4	cheated	Activity	AgP
120	60	unexpected	Lily cheated Thomas because he	4	cheated	Activity	AgP
121	61	expected	James cheered Daniel because he	4	cheered	Psychological	StimExp
122	61	unexpected	Lily cheered Daniel because he	4	cheered	Psychological	StimExp
123	62	expected	William cherished John because he	4	cherished	Psychological	ExpStim
124	62	unexpected	William cherished Grace because he	4	cherished	Psychological	ExpStim
125	63	expected	Mark chided James because he	4	chided	Activity	AgEvo
126	63	unexpected	Mark chided Grace because he	4	chided	Activity	AgEvo
127	64	expected	James chilled John because he	4	chilled	Psychological	StimExp
128	64	unexpected	Lily chilled John because he	4	chilled	Psychological	StimExp
129	65	expected	John comforted James because he	4	comforted	Psychological	StimExp
130	65	unexpected	Lily comforted James because he	4	comforted	Psychological	StimExp
131	66	expected	John commended William because he	4	commended	Activity	AgEvo
132	66	unexpected	John commended Lily because he	4	commended	Activity	AgEvo
133	67	expected	Mark compensated James because he	4	compensated	Activity	AgP
134	67	unexpected	Elizabeth compensated James because he	4	compensated	Activity	AgP
135	68	expected	Thomas complemented James because he	4	complemented	Activity	AgP
136	68	unexpected	Sarah complemented James because he	4	complemented	Activity	AgP
137	69	expected	Michael complimented Thomas because he	4	complimented	Activity	AgEvo
138	69	unexpected	Michael complimented Linda because he	4	complimented	Activity	AgEvo
139	70	expected	Thomas concerned Richard because he	4	concerned	Psychological	StimExp
140	70	unexpected	Linda concerned Richard because he	4	concerned	Psychological	StimExp
141	71	expected	David condemned Daniel because he	4	condemned	Activity	AgEvo
142	71	unexpected	David condemned Susan because he	4	condemned	Activity	AgEvo
143	72	expected	William confessed to Richard because he	5	confessed to	Activity	AgP
144	72	unexpected	Susan confessed to Richard because he	5	confessed to	Activity	AgP
145	73	expected	Thomas confided in John because he	5	confided in	Activity	AgP
146	73	unexpected	Lily confided in John because he	5	confided in	Activity	AgP
147	74	expected	John confounded Richard because he	4	confounded	Psychological	StimExp
148	74	unexpected	Emily confounded Richard because he	4	confounded	Psychological	StimExp
149	75	expected	David confused James because he	4	confused	Psychological	StimExp
150	75	unexpected	Linda confused James because he	4	confused	Psychological	StimExp
151	76	expected	James congratulated Mark because he	4	congratulated	Activity	AgEvo
152	76	unexpected	James congratulated Jessica because he	4	congratulated	Activity	AgEvo
153	77	expected	Michael consoled Richard because he	4	consoled	Psychological	StimExp
154	77	unexpected	Jennifer consoled Richard because he	4	consoled	Psychological	StimExp
155	78	expected	Robert consulted Thomas because he	4	consulted	Activity	AgP
156	78	unexpected	Linda consulted Thomas because he	4	consulted	Activity	AgP
157	79	expected	David corrected Thomas because he	4	corrected	Activity	AgP
158	79	unexpected	Sarah corrected Thomas because he	4	corrected	Activity	AgP
159	80	expected	David corrupted John because he	4	corrupted	Activity	AgP
160	80	unexpected	Sarah corrupted John because he	4	corrupted	Activity	AgP
161	81	expected	John counseled David because he	4	counseled	Activity	AgP
162	81	unexpected	Linda counseled David because he	4	counseled	Activity	AgP
163	82	expected	Michael courted Richard because he	4	courted	Activity	AgP
164	82	unexpected	Jessica courted Richard because he	4	courted	Activity	AgP
165	83	expected	Thomas criticized James because he	4	criticized	Activity	AgEvo
166	83	unexpected	Thomas criticized Susan because he	4	criticized	Activity	AgEvo
167	84	expected	John cuddled Michael because he	4	cuddled	Activity	AgP
168	84	unexpected	Susan cuddled Michael because he	4	cuddled	Activity	AgP
169	85	expected	John dated Richard because he	4	dated	Activity	AgP
170	85	unexpected	Elizabeth dated Richard because he	4	dated	Activity	AgP
171	86	expected	Thomas daunted Robert because he	4	daunted	Psychological	StimExp
172	86	unexpected	Susan daunted Robert because he	4	daunted	Psychological	StimExp
173	87	expected	Mark debated with Thomas because he	5	debated with	Activity	AgP
174	87	unexpected	Jennifer debated with Thomas because he	5	debated with	Activity	AgP
175	88	expected	James deceived Robert because he	4	deceived	Activity	AgP
176	88	unexpected	Linda deceived Robert because he	4	deceived	Activity	AgP
177	89	expected	John decried Mark because he	4	decried	Activity	AgEvo
178	89	unexpected	John decried Mary because he	4	decried	Activity	AgEvo
179	90	expected	William defamed John because he	4	defamed	Activity	AgEvo
180	90	unexpected	William defamed Mary because he	4	defamed	Activity	AgEvo
181	91	expected	Daniel defied Thomas because he	4	defied	Activity	AgP
182	91	unexpected	Sarah defied Thomas because he	4	defied	Activity	AgP
183	92	expected	Mark delighted Michael because he	4	delighted	Psychological	StimExp
184	92	unexpected	Mary delighted Michael because he	4	delighted	Psychological	StimExp
185	93	expected	Mark denigrated David because he	4	denigrated	Activity	AgEvo
186	93	unexpected	Mark denigrated Jennifer because he	4	denigrated	Activity	AgEvo
187	94	expected	David denounced Daniel because he	4	denounced	Activity	AgEvo
188	94	unexpected	David denounced Linda because he	4	denounced	Activity	AgEvo
189	95	expected	Richard deplored David because he	4	deplored	Psychological	ExpStim
190	95	unexpected	Richard deplored Grace because he	4	deplored	Psychological	ExpStim
191	96	expected	James deprecated John because he	4	deprecated	Activity	AgEvo
192	96	unexpected	James deprecated Grace because he	4	deprecated	Activity	AgEvo
193	97	expected	David derided Richard because he	4	derided	Activity	AgEvo
194	97	unexpected	David derided Grace because he	4	derided	Activity	AgEvo
195	98	expected	Daniel deserted Mark because he	4	deserted	Activity	AgP
196	98	unexpected	Emily deserted Mark because he	4	deserted	Activity	AgP
197	99	expected	Robert despised James because he	4	despised	Psychological	ExpStim
198	99	unexpected	Robert despised Emily because he	4	despised	Psychological	ExpStim
199	100	expected	James detested Robert because he	4	detested	Psychological	ExpStim
200	100	unexpected	James detested Susan because he	4	detested	Psychological	ExpStim
201	101	expected	Michael disappointed Robert because he	4	disappointed	Psychological	StimExp
202	101	unexpected	Jessica disappointed Robert because he	4	disappointed	Psychological	StimExp
203	102	expected	William discouraged David because he	4	discouraged	Psychological	StimExp
204	102	unexpected	Mary discouraged David because he	4	discouraged	Psychological	StimExp
205	103	expected	Thomas disdained David because he	4	disdained	Psychological	ExpStim
206	103	unexpected	Thomas disdained Lily because he	4	disdained	Psychological	ExpStim
207	104	expected	Mark disgruntled James because he	4	disgruntled	Psychological	StimExp
208	104	unexpected	Sarah disgruntled James because he	4	disgruntled	Psychological	StimExp
209	105	expected	Robert disliked Michael because he	4	disliked	Psychological	ExpStim
210	105	unexpected	Robert disliked Emily because he	4	disliked	Psychological	ExpStim
211	106	expected	David disobeyed James because he	4	disobeyed	Activity	AgP
212	106	unexpected	Emily disobeyed James because he	4	disobeyed	Activity	AgP
213	107	expected	Robert disparaged Michael because he	4	disparaged	Activity	AgEvo
214	107	unexpected	Robert disparaged Jessica because he	4	disparaged	Activity	AgEvo
215	108	expected	Mark distracted Robert because he	4	distracted	Psychological	StimExp
216	108	unexpected	Grace distracted Robert because he	4	distracted	Psychological	StimExp
217	109	expected	Mark distressed John because he	4	distressed	Psychological	StimExp
218	109	unexpected	Sarah distressed John because he	4	distressed	Psychological	StimExp
219	110	expected	Robert distrusted David because he	4	distrusted	Psychological	ExpStim
220	110	unexpected	Robert distrusted Jennifer because he	4	distrusted	Psychological	ExpStim
221	111	expected	Robert divorced David because he	4	divorced	Activity	AgP
222	111	unexpected	Lily divorced David because he	4	divorced	Activity	AgP
223	112	expected	Mark dominated Michael because he	4	dominated	Activity	AgP
224	112	unexpected	Elizabeth dominated Michael because he	4	dominated	Activity	AgP
225	113	expected	Robert dreaded James because he	4	dreaded	Psychological	ExpStim
226	113	unexpected	Robert dreaded Emily because he	4	dreaded	Psychological	ExpStim
227	114	expected	James dreamed about Robert because he	5	dreamed about	Psychological	ExpStim
228	114	unexpected	James dreamed about Sarah because he	5	dreamed about	Psychological	ExpStim
229	115	expected	Thomas dumbfounded Robert because he	4	dumbfounded	Psychological	StimExp
230	115	unexpected	Mary dumbfounded Robert because he	4	dumbfounded	Psychological	StimExp
231	116	expected	David echoed Richard because he	4	echoed	Activity	AgP
232	116	unexpected	Elizabeth echoed Richard because he	4	echoed	Activity	AgP
233	117	expected	John embraced Daniel because he	4	embraced	Activity	AgP
234	117	unexpected	Emily embraced Daniel because he	4	embraced	Activity	AgP
235	118	expected	Michael employed Robert because he	4	employed	Activity	AgP
236	118	unexpected	Jennifer employed Robert because he	4	employed	Activity	AgP
237	119	expected	Thomas encouraged Mark because he	4	encouraged	Psychological	StimExp
238	119	unexpected	Susan encouraged Mark because he	4	encouraged	Psychological	StimExp
239	120	expected	Mark enlightened John because he	4	enlightened	Psychological	StimExp
240	120	unexpected	Lily enlightened John because he	4	enlightened	Psychological	StimExp
241	121	expected	David enlivened Michael because he	4	enlivened	Psychological	StimExp
242	121	unexpected	Sarah enlivened Michael because he	4	enlivened	Psychological	StimExp
243	122	expected	John enraged William because he	4	enraged	Psychological	StimExp
244	122	unexpected	Grace enraged William because he	4	enraged	Psychological	StimExp
245	123	expected	Mark enthralled Michael because he	4	enthralled	Psychological	StimExp
246	123	unexpected	Susan enthralled Michael because he	4	enthralled	Psychological	StimExp
247	124	expected	Michael enticed John because he	4	enticed	Psychological	StimExp
248	124	unexpected	Elizabeth enticed John because he	4	enticed	Psychological	StimExp
249	125	expected	William entranced John because he	4	entranced	Psychological	StimExp
250	125	unexpected	Emily entranced John because he	4	entranced	Psychological	StimExp
251	126	expected	James envied Daniel because he	4	envied	Psychological	ExpStim
252	126	unexpected	James envied Lily because he	4	envied	Psychological	ExpStim
253	127	expected	William escorted Mark because he	4	escorted	Activity	AgP
254	127	unexpected	Susan escorted Mark because he	4	escorted	Activity	AgP
255	128	expected	Daniel esteemed Michael because he	4	esteemed	Psychological	ExpStim
256	128	unexpected	Daniel esteemed Linda because he	4	esteemed	Psychological	ExpStim
257	129	expected	Michael exalted Daniel because he	4	exalted	Activity	AgP
258	129	unexpected	Susan exalted Daniel because he	4	exalted	Activity	AgP
259	130	expected	John exasperated Michael because he	4	exasperated	Psychological	StimExp
260	130	unexpected	Emily exasperated Michael because he	4	exasperated	Psychological	StimExp
261	131	expected	Richard excited James because he	4	excited	Psychological	StimExp
262	131	unexpected	Elizabeth excited James because he	4	excited	Psychological	StimExp
263	132	expected	Michael excused David because he	4	excused	Activity	AgEvo
264	132	unexpected	Michael excused Susan because he	4	excused	Activity	AgEvo
265	133	expected	John exhausted Thomas because he	4	exhausted	Psychological	StimExp
266	133	unexpected	Linda exhausted Thomas because he	4	exhausted	Psychological	StimExp
267	134	expected	James exhilarated Thomas because he	4	exhilarated	Psychological	StimExp
268	134	unexpected	Emily exhilarated Thomas because he	4	exhilarated	Psychological	StimExp
269	135	expected	Robert fancied James because he	4	fancied	Psychological	ExpStim
270	135	unexpected	Robert fancied Linda because he	4	fancied	Psychological	ExpStim
271	136	expected	John fascinated James because he	4	fascinated	Psychological	StimExp
272	136	unexpected	Susan fascinated James because he	4	fascinated	Psychological	StimExp
273	137	expected	William favoured Robert because he	4	favoured	Psychological	ExpStim
274	137	unexpected	William favoured Lily because he	4	favoured	Psychological	ExpStim
275	138	expected	Robert fazed William because he	4	fazed	Psychological	StimExp
276	138	unexpected	Sarah fazed William because he	4	fazed	Psychological	StimExp
277	139	expected	Richard feared Mark because he	4	feared	Psychological	ExpStim
278	139	unexpected	Richard feared Emily because he	4	feared	Psychological	ExpStim
279	140	expected	John fed David because he	4	fed	Activity	AgP
280	140	unexpected	Elizabeth fed David because he	4	fed	Activity	AgP
281	141	expected	Michael filmed Robert because he	4	filmed	Activity	AgP
282	141	unexpected	Mary filmed Robert because he	4	filmed	Activity	AgP
283	142	expected	David flabbergasted Richard because he	4	flabbergasted	Psychological	StimExp
284	142	unexpected	Emily flabbergasted Richard because he	4	flabbergasted	Psychological	StimExp
285	143	expected	William flattered Richard because he	4	flattered	Psychological	StimExp
286	143	unexpected	Grace flattered Richard because he	4	flattered	Psychological	StimExp
287	144	expected	Mark floored David because he	4	floored	Activity	AgP
288	144	unexpected	Susan floored David because he	4	floored	Activity	AgP
289	145	expected	Daniel followed James because he	4	followed	Activity	AgP
290	145	unexpected	Elizabeth followed James because he	4	followed	Activity	AgP
291	146	expected	John fooled Richard because he	4	fooled	Activity	AgP
292	146	unexpected	Mary fooled Richard because he	4	fooled	Activity	AgP
293	147	expected	Mark forgave Daniel because he	4	forgave	Activity	AgEvo
294	147	unexpected	Mark forgave Linda because he	4	forgave	Activity	AgEvo
295	148	expected	William forgot Richard because he	4	forgot	Psychological	ExpStim
296	148	unexpected	William forgot Lily because he	4	forgot	Psychological	ExpStim
297	149	expected	William fought Daniel because he	4	fought	Activity	AgP
298	149	unexpected	Lily fought Daniel because he	4	fought	Activity	AgP
299	150	expected	Robert freed Mark because he	4	freed	Activity	AgP
300	150	unexpected	Elizabeth freed Mark because he	4	freed	Activity	AgP
301	151	expected	Richard frightened William because he	4	frightened	Psychological	StimExp
302	151	unexpected	Susan frightened William because he	4	frightened	Psychological	StimExp
303	152	expected	Robert frustrated Mark because he	4	frustrated	Psychological	StimExp
304	152	unexpected	Jennifer frustrated Mark because he	4	frustrated	Psychological	StimExp
